"time","rate_c_sugar"
3280,-0.000649615
3290,-0.000649582
3300,-0.00064955
3310,-0.000649517
3320,-0.000649484
3330,-0.000649451
3340,-0.000649418
3350,-0.000649385
3360,-0.000649352
3370,-0.00064932
3380,-0.000649287
3390,-0.000649254
3400,-0.000649221
3410,-0.000649188
3420,-0.000649155
3430,-0.000649123
3440,-0.00064909
3450,-0.000649057
3460,-0.000649024
3470,-0.000648991
3480,-0.000648958
3490,-0.000648926
3500,-0.000648893
3510,-0.00064886
3520,-0.000648827
3530,-0.000648794
3540,-0.000648762
3550,-0.000648729
3560,-0.000648696
3570,-0.000648663
3580,-0.00064863
3590,-0.000648598
3600,-0.000648565
3610,-0.000648532
3620,-0.000648499
3630,-0.000648467
3640,-0.000648434
3650,-0.000648401
3660,-0.000648368
3670,-0.000648335
3680,-0.000648303
3690,-0.00064827
3700,-0.000648237
3710,-0.000648204
3720,-0.000648172
3730,-0.000648139
3740,-0.000648106
3750,-0.000648073
3760,-0.000648041
3770,-0.000648008
3780,-0.000647975
3790,-0.000647942
3800,-0.00064791
3810,-0.000647877
3820,-0.000647844
3830,-0.000647811
3840,-0.000647779
3850,-0.000647746
3860,-0.000647713
3870,-0.000647681
3880,-0.000647648
3890,-0.000647615
3900,-0.000647582
3910,-0.00064755
3920,-0.000647517
3930,-0.000647484
3940,-0.000647452
3950,-0.000647419
3960,-0.000647386
3970,-0.000647353
3980,-0.000647321
3990,-0.000647288
4000,-0.000647255
4010,-0.000647223
4020,-0.00064719
4030,-0.000647157
4040,-0.000647125
4050,-0.000647092
4060,-0.000647059
4070,-0.000647027
4080,-0.000646994
4090,-0.000646961
4100,-0.000646929
4110,-0.000646896
4120,-0.000646863
4130,-0.000646831
4140,-0.000646798
4150,-0.000646765
4160,-0.000646733
4170,-0.0006467
4180,-0.000646667
4190,-0.000646635
4200,-0.000646602
4210,-0.000646569
4220,-0.000646537
4230,-0.000646504
4240,-0.000646471
4250,-0.000646439
4260,-0.000646406
4270,-0.000646374
4280,-0.000646341
4290,-0.000646308
4300,-0.000646276
4310,-0.000646243
4320,-0.00064621
4330,-0.000646178
4340,-0.000646145
4350,-0.000646113
4360,-0.00064608
4370,-0.000646047
4380,-0.000646015
4390,-0.000645982
4400,-0.00064595
4410,-0.000645917
4420,-0.000645884
4430,-0.000645852
4440,-0.000645819
4450,-0.000645787
4460,-0.000645754
4470,-0.000645721
4480,-0.000645689
4490,-0.000645656
4500,-0.000645624
4510,-0.000645591
4520,-0.000645559
4530,-0.000645526
4540,-0.000645493
4550,-0.000645461
4560,-0.000645428
4570,-0.000645396
4580,-0.000645363
4590,-0.000645331
4600,-0.000645298
4610,-0.000645266
4620,-0.000645233
4630,-0.0006452
4640,-0.000645168
4650,-0.000645135
4660,-0.000645103
4670,-0.00064507
4680,-0.000645038
4690,-0.000645005
4700,-0.000644973
4710,-0.00064494
4720,-0.000644908
4730,-0.000644875
4740,-0.000644843
4750,-0.00064481
4760,-0.000644778
4770,-0.000644745
4780,-0.000644713
4790,-0.00064468
4800,-0.000644648
4810,-0.000644615
4820,-0.000644583
4830,-0.00064455
4840,-0.000644518
4850,-0.000644485
4860,-0.000644453
4870,-0.00064442
4880,-0.000644388
4890,-0.000644355
4900,-0.000644323
4910,-0.00064429
4920,-0.000644258
4930,-0.000644225
4940,-0.000644193
4950,-0.00064416
4960,-0.000644128
4970,-0.000644095
4980,-0.000644063
4990,-0.000644031
5000,-0.000643998
5010,-0.000643966
5020,-0.000643933
5030,-0.000643901
5040,-0.000643868
5050,-0.000643836
5060,-0.000643803
5070,-0.000643771
5080,-0.000643738
5090,-0.000643706
5100,-0.000643674
5110,-0.000643641
5120,-0.000643609
5130,-0.000643576
5140,-0.000643544
5150,-0.000643512
5160,-0.000643479
5170,-0.000643447
5180,-0.000643414
5190,-0.000643382
5200,-0.000643349
5210,-0.000643317
5220,-0.000643285
5230,-0.000643252
5240,-0.00064322
5250,-0.000643187
5260,-0.000643155
5270,-0.000643123
5280,-0.00064309
5290,-0.000643058
5300,-0.000643025
5310,-0.000642993
5320,-0.000642961
5330,-0.000642928
5340,-0.000642896
5350,-0.000642864
5360,-0.000642831
5370,-0.000642799
5380,-0.000642766
5390,-0.000642734
5400,-0.000642702
5410,-0.000642669
5420,-0.000642637
5430,-0.000642605
5440,-0.000642572
5450,-0.00064254
5460,-0.000642508
5470,-0.000642475
5480,-0.000642443
5490,-0.000642411
5500,-0.000642378
5510,-0.000642346
5520,-0.000642314
5530,-0.000642281
5540,-0.000642249
5550,-0.000642217
5560,-0.000642184
5570,-0.000642152
5580,-0.00064212
5590,-0.000642087
5600,-0.000642055
5610,-0.000642023
5620,-0.00064199
5630,-0.000641958
5640,-0.000641926
5650,-0.000641893
5660,-0.000641861
5670,-0.000641829
5680,-0.000641797
5690,-0.000641764
5700,-0.000641732
5710,-0.0006417
5720,-0.000641667
5730,-0.000641635
5740,-0.000641603
5750,-0.000641571
5760,-0.000641538
5770,-0.000641506
5780,-0.000641474
5790,-0.000641441
5800,-0.000641409
5810,-0.000641377
5820,-0.000641345
5830,-0.000641312
5840,-0.00064128
5850,-0.000641248
5860,-0.000641216
5870,-0.000641183
5880,-0.000641151
5890,-0.000641119
5900,-0.000641087
5910,-0.000641054
5920,-0.000641022
5930,-0.00064099
5940,-0.000640958
5950,-0.000640925
5960,-0.000640893
5970,-0.000640861
5980,-0.000640829
5990,-0.000640797
6000,-0.000640764
6010,-0.000640732
6020,-0.0006407
6030,-0.000640668
6040,-0.000640635
6050,-0.000640603
6060,-0.000640571
6070,-0.000640539
6080,-0.000640507
6090,-0.000640474
6100,-0.000640442
6110,-0.00064041
6120,-0.000640378
6130,-0.000640346
6140,-0.000640313
6150,-0.000640281
6160,-0.000640249
6170,-0.000640217
6180,-0.000640185
6190,-0.000640153
6200,-0.00064012
6210,-0.000640088
6220,-0.000640056
6230,-0.000640024
6240,-0.000639992
6250,-0.00063996
6260,-0.000639927
6270,-0.000639895
6280,-0.000639863
6290,-0.000639831
6300,-0.000639799
6310,-0.000639767
6320,-0.000639734
6330,-0.000639702
6340,-0.00063967
6350,-0.000639638
6360,-0.000639606
6370,-0.000639574
6380,-0.000639542
6390,-0.000639509
6400,-0.000639477
6410,-0.000639445
6420,-0.000639413
6430,-0.000639381
6440,-0.000639349
6450,-0.000639317
6460,-0.000639285
6470,-0.000639253
6480,-0.00063922
6490,-0.000639188
6500,-0.000639156
6510,-0.000639124
6520,-0.000639092
6530,-0.00063906
6540,-0.000639028
6550,-0.000638996
6560,-0.000638964
6570,-0.000638932
6580,-0.000638899
6590,-0.000638867
6600,-0.000638835
6610,-0.000638803
6620,-0.000638771
6630,-0.000638739
6640,-0.000638707
6650,-0.000638675
6660,-0.000638643
6670,-0.000638611
6680,-0.000638579
6690,-0.000638547
6700,-0.000638515
6710,-0.000638483
6720,-0.00063845
6730,-0.000638418
6740,-0.000638386
6750,-0.000638354
6760,-0.000638322
6770,-0.00063829
6780,-0.000638258
6790,-0.000638226
6800,-0.000638194
6810,-0.000638162
6820,-0.00063813
6830,-0.000638098
6840,-0.000638066
6850,-0.000638034
6860,-0.000638002
6870,-0.00063797
6880,-0.000637938
6890,-0.000637906
6900,-0.000637874
6910,-0.000637842
6920,-0.00063781
6930,-0.000637778
6940,-0.000637746
6950,-0.000637714
6960,-0.000637682
6970,-0.00063765
6980,-0.000637618
6990,-0.000637586
7000,-0.000637554
7010,-0.000637522
7020,-0.00063749
7030,-0.000637458
7040,-0.000637426
7050,-0.000637394
7060,-0.000637362
7070,-0.00063733
7080,-0.000637298
7090,-0.000637266
7100,-0.000637234
7110,-0.000637202
7120,-0.00063717
7130,-0.000637138
7140,-0.000637106
7150,-0.000637074
7160,-0.000637042
7170,-0.00063701
7180,-0.000636978
7190,-0.000636947
7200,-0.000636915
7210,-0.000636883
7220,-0.000636851
7230,-0.000636819
7240,-0.000636787
7250,-0.000636755
7260,-0.000636723
7270,-0.000636691
7280,-0.000636659
7290,-0.000636627
7300,-0.000636595
7310,-0.000636563
7320,-0.000636531
7330,-0.0006365
7340,-0.000636468
7350,-0.000636436
7360,-0.000636404
7370,-0.000636372
7380,-0.00063634
7390,-0.000636308
7400,-0.000636276
7410,-0.000636244
7420,-0.000636212
7430,-0.000636181
7440,-0.000636149
7450,-0.000636117
7460,-0.000636085
7470,-0.000636053
7480,-0.000636021
7490,-0.000635989
7500,-0.000635957
7510,-0.000635925
7520,-0.000635894
7530,-0.000635862
7540,-0.00063583
7550,-0.000635798
7560,-0.000635766
7570,-0.000635734
7580,-0.000635702
7590,-0.000635671
7600,-0.000635639
7610,-0.000635607
7620,-0.000635575
7630,-0.000635543
7640,-0.000635511
7650,-0.000635479
7660,-0.000635448
7670,-0.000635416
7680,-0.000635384
7690,-0.000635352
7700,-0.00063532
7710,-0.000635288
7720,-0.000635257
7730,-0.000635225
7740,-0.000635193
7750,-0.000635161
7760,-0.000635129
7770,-0.000635098
